shipment_id,product_id,warehouse_id,dispatch_date,weather_conditions,delayed
SH_241,P_5,W_5,2026-03-17,Rain,0
SH_242,P_158,W_7,2026-03-10,Snow,1
SH_243,P_27,W_3,2026-01-06,Storm,0
SH_244,P_134,W_1,2026-01-14,Storm,0
SH_245,P_190,W_5,2026-01-26,Rain,0
SH_246,P_43,W_1,2026-03-04,Clear,0
SH_247,P_49,W_5,2026-02-17,Snow,0
SH_248,P_165,W_2,2026-01-24,Rain,1
SH_249,P_65,W_3,2026-01-11,Rain,0
SH_250,P_194,W_1,2026-02-27,Rain,0
SH_251,P_160,W_7,2026-02-28,Storm,0
SH_252,P_194,W_9,2026-03-20,Storm,0
SH_253,P_144,W_9,2026-02-11,Snow,0
SH_254,P_160,W_5,2026-02-10,Rain,0
SH_255,P_120,W_7,2026-01-07,Snow,0
SH_256,P_151,W_0,2026-01-04,Snow,0
SH_257,P_79,W_7,2026-02-05,Storm,1
SH_258,P_94,W_4,2026-01-27,Clear,0
SH_259,P_23,W_9,2026-01-21,Storm,0
SH_260,P_141,W_0,2026-01-08,Storm,0
SH_261,P_146,W_3,2026-03-21,Snow,0
SH_262,P_128,W_2,2026-03-11,Clear,0
SH_263,P_87,W_1,2026-02-17,Rain,1
SH_264,P_181,W_7,2026-03-20,Storm,0
SH_265,P_156,W_2,2026-03-24,Snow,1
SH_266,P_72,W_6,2026-02-25,Storm,0
SH_267,P_173,W_9,2026-01-23,Clear,0
SH_268,P_165,W_5,2026-01-04,Clear,0
SH_269,P_142,W_6,2026-03-04,Snow,1
SH_270,P_168,W_9,2026-02-09,Rain,0
SH_271,P_149,W_2,2026-02-24,Snow,1
SH_272,P_167,W_6,2026-03-18,Rain,0
SH_273,P_21,W_4,2026-01-16,Storm,0
SH_274,P_84,W_2,2026-02-18,Clear,0
SH_275,P_108,W_8,2026-02-22,Snow,1
SH_276,P_79,W_2,2026-02-10,Rain,0
SH_277,P_196,W_7,2026-01-08,Rain,1
SH_278,P_35,W_2,2026-01-29,Clear,0
SH_279,P_25,W_8,2026-01-28,Clear,0
SH_280,P_196,W_9,2026-02-25,Rain,0
SH_281,P_39,W_2,2026-03-13,Rain,0
SH_282,P_197,W_9,2026-01-28,Rain,0
SH_283,P_11,W_6,2026-02-27,Snow,0
SH_284,P_60,W_7,2026-01-24,Snow,0
SH_285,P_114,W_3,2026-03-20,Rain,0
SH_286,P_120,W_3,2026-03-09,Snow,0
SH_287,P_146,W_7,2026-02-15,Storm,0
SH_288,P_199,W_6,2026-02-07,Storm,0
SH_289,P_51,W_9,2026-01-27,Rain,0
SH_290,P_13,W_7,2026-01-27,Snow,1
SH_291,P_26,W_8,2026-03-22,Clear,1
SH_292,P_195,W_2,2026-02-03,Snow,0
SH_293,P_131,W_2,2026-02-12,Storm,1
SH_294,P_56,W_7,2026-03-24,Snow,0
SH_295,P_106,W_0,2026-02-24,Storm,1
SH_296,P_60,W_6,2026-02-15,Clear,0
SH_297,P_7,W_5,2026-02-04,Clear,0
SH_298,P_166,W_5,2026-01-16,Rain,1
SH_299,P_73,W_7,2026-01-31,Rain,0
SH_300,P_120,W_7,2026-03-04,Clear,0
SH_301,P_4,W_4,2026-02-21,Rain,0
SH_302,P_140,W_9,2026-03-05,Storm,1
SH_303,P_73,W_3,2026-01-17,Snow,1
SH_304,P_61,W_6,2026-02-15,Storm,1
SH_305,P_127,W_9,2026-03-18,Clear,0
SH_306,P_147,W_3,2026-02-06,Rain,1
SH_307,P_0,W_9,2026-02-27,Snow,1
SH_308,P_106,W_2,2026-01-11,Clear,0
SH_309,P_92,W_1,2026-03-22,Clear,0
SH_310,P_120,W_0,2026-02-20,Storm,0
SH_311,P_64,W_0,2026-01-20,Snow,0
SH_312,P_88,W_3,2026-01-14,Clear,0
SH_313,P_188,W_5,2026-02-15,Rain,1
SH_314,P_139,W_5,2026-02-15,Rain,0
SH_315,P_175,W_7,2026-01-08,Storm,0
SH_316,P_34,W_1,2026-03-24,Storm,1
SH_317,P_51,W_0,2026-03-17,Rain,0
SH_318,P_80,W_4,2026-02-08,Storm,0
SH_319,P_139,W_7,2026-01-10,Snow,1
SH_320,P_165,W_3,2026-03-11,Snow,1
SH_321,P_199,W_0,2026-02-11,Snow,1
SH_322,P_94,W_6,2026-03-01,Storm,0
SH_323,P_98,W_5,2026-02-12,Rain,0
SH_324,P_127,W_5,2026-01-23,Snow,0
SH_325,P_186,W_6,2026-03-11,Clear,0
SH_326,P_46,W_8,2026-03-23,Snow,1
SH_327,P_20,W_5,2026-01-21,Snow,1
SH_328,P_154,W_6,2026-02-15,Rain,0
SH_329,P_89,W_7,2026-02-01,Clear,0
SH_330,P_90,W_9,2026-03-18,Storm,1
SH_331,P_14,W_1,2026-02-12,Storm,1
SH_332,P_191,W_2,2026-03-14,Clear,0
SH_333,P_155,W_7,2026-03-13,Clear,0
SH_334,P_60,W_5,2026-01-23,Snow,1
SH_335,P_145,W_0,2026-03-07,Rain,0
SH_336,P_94,W_5,2026-02-04,Storm,0
SH_337,P_146,W_2,2026-03-19,Snow,1
SH_338,P_166,W_4,2026-02-12,Rain,0
SH_339,P_6,W_2,2026-03-10,Storm,1
SH_340,P_143,W_1,2026-01-24,Snow,0
SH_341,P_180,W_7,2026-01-25,Rain,0
SH_342,P_73,W_7,2026-02-18,Rain,1
SH_343,P_18,W_7,2026-03-24,Rain,0
SH_344,P_113,W_1,2026-02-10,Snow,0
SH_345,P_181,W_1,2026-01-13,Snow,0
SH_346,P_40,W_2,2026-02-14,Snow,1
SH_347,P_31,W_3,2026-01-29,Rain,0
SH_348,P_126,W_0,2026-02-15,Snow,1
SH_349,P_94,W_7,2026-02-15,Rain,0
SH_350,P_22,W_1,2026-02-07,Snow,1
SH_351,P_183,W_7,2026-01-27,Storm,0
SH_352,P_147,W_1,2026-01-16,Rain,0
SH_353,P_164,W_1,2026-02-27,Storm,1
SH_354,P_132,W_5,2026-02-17,Rain,0
SH_355,P_199,W_8,2026-01-20,Rain,0
SH_356,P_33,W_6,2026-03-06,Clear,0
SH_357,P_132,W_2,2026-01-04,Snow,1
SH_358,P_82,W_3,2026-03-03,Snow,0
SH_359,P_132,W_4,2026-02-28,Clear,1
SH_360,P_162,W_8,2026-03-09,Snow,1
SH_361,P_77,W_9,2026-02-02,Clear,0
SH_362,P_43,W_9,2026-02-25,Rain,0
SH_363,P_159,W_9,2026-03-10,Snow,0
SH_364,P_144,W_0,2026-03-23,Clear,1
SH_365,P_164,W_9,2026-02-11,Snow,0
SH_366,P_196,W_9,2026-01-04,Storm,0
SH_367,P_7,W_7,2026-02-11,Snow,0
SH_368,P_77,W_7,2026-02-18,Rain,0
SH_369,P_175,W_6,2026-03-14,Snow,1
SH_370,P_176,W_0,2026-03-14,Rain,0
SH_371,P_123,W_7,2026-02-06,Rain,0
SH_372,P_36,W_5,2026-02-13,Snow,0
SH_373,P_88,W_6,2026-02-07,Rain,0
SH_374,P_131,W_8,2026-03-01,Clear,0
SH_375,P_119,W_1,2026-02-04,Snow,0
SH_376,P_36,W_1,2026-02-24,Clear,1
SH_377,P_98,W_9,2026-01-13,Storm,1
SH_378,P_40,W_5,2026-02-08,Snow,1
SH_379,P_40,W_7,2026-03-22,Storm,1
SH_380,P_78,W_7,2026-01-29,Clear,1
SH_381,P_100,W_8,2026-02-27,Storm,0
SH_382,P_55,W_9,2026-02-23,Snow,1
SH_383,P_72,W_7,2026-03-12,Storm,1
SH_384,P_2,W_1,2026-03-12,Storm,1
SH_385,P_67,W_5,2026-03-13,Storm,1
SH_386,P_102,W_0,2026-02-01,Rain,0
SH_387,P_73,W_1,2026-01-27,Storm,1
SH_388,P_195,W_8,2026-03-01,Snow,0
SH_389,P_159,W_9,2026-03-05,Clear,1
SH_390,P_24,W_6,2026-03-14,Snow,0
SH_391,P_86,W_8,2026-01-03,Snow,0
SH_392,P_50,W_9,2026-01-06,Storm,0
SH_393,P_11,W_0,2026-02-22,Rain,0
SH_394,P_121,W_8,2026-03-18,Storm,1
SH_395,P_131,W_2,2026-03-24,Snow,0
SH_396,P_81,W_2,2026-03-03,Storm,0
SH_397,P_189,W_4,2026-02-06,Snow,1
SH_398,P_130,W_8,2026-01-09,Storm,0
SH_399,P_76,W_7,2026-02-22,Clear,0
SH_400,P_172,W_1,2026-03-14,Storm,1
SH_401,P_185,W_0,2026-02-06,Storm,1
SH_402,P_167,W_9,2026-02-27,Rain,0
SH_403,P_149,W_7,2026-03-16,Rain,0
SH_404,P_184,W_9,2026-01-04,Storm,1
SH_405,P_174,W_3,2026-03-08,Clear,0
SH_406,P_179,W_1,2026-01-25,Rain,1
SH_407,P_80,W_6,2026-02-01,Rain,0
SH_408,P_52,W_6,2026-01-13,Storm,0
SH_409,P_188,W_0,2026-02-14,Rain,0
SH_410,P_143,W_5,2026-02-16,Storm,1
SH_411,P_80,W_2,2026-03-07,Storm,0
SH_412,P_87,W_8,2026-01-15,Snow,0
SH_413,P_184,W_4,2026-01-07,Storm,1
SH_414,P_63,W_4,2026-03-14,Snow,1
SH_415,P_76,W_4,2026-02-21,Rain,0
SH_416,P_125,W_5,2026-01-20,Storm,1
SH_417,P_184,W_4,2026-03-17,Snow,1
SH_418,P_173,W_8,2026-01-12,Storm,0
SH_419,P_101,W_5,2026-02-08,Rain,1
SH_420,P_73,W_1,2026-01-22,Snow,0
SH_421,P_167,W_4,2026-01-22,Storm,1
SH_422,P_137,W_4,2026-01-01,Snow,1
SH_423,P_157,W_9,2026-03-08,Rain,0
SH_424,P_171,W_8,2026-03-16,Rain,0
SH_425,P_13,W_1,2026-02-26,Storm,1
SH_426,P_120,W_1,2026-01-14,Rain,1
SH_427,P_140,W_2,2026-02-06,Storm,0
SH_428,P_121,W_7,2026-01-29,Rain,0
SH_429,P_73,W_5,2026-02-18,Snow,0
SH_430,P_196,W_1,2026-02-23,Rain,0
SH_431,P_185,W_0,2026-02-05,Rain,0
SH_432,P_45,W_0,2026-01-21,Storm,0
SH_433,P_47,W_4,2026-03-12,Clear,1
SH_434,P_145,W_9,2026-01-17,Clear,0
SH_435,P_85,W_4,2026-02-01,Storm,0
SH_436,P_139,W_8,2026-02-10,Storm,0
SH_437,P_34,W_8,2026-01-20,Storm,1
SH_438,P_28,W_5,2026-02-17,Rain,0
SH_439,P_165,W_4,2026-02-17,Rain,1
SH_440,P_86,W_4,2026-03-24,Rain,0
SH_441,P_163,W_6,2026-01-25,Storm,0
SH_442,P_22,W_6,2026-03-23,Clear,1
SH_443,P_35,W_7,2026-02-24,Snow,0
SH_444,P_1,W_4,2026-01-23,Storm,1
SH_445,P_192,W_4,2026-02-16,Snow,1
SH_446,P_185,W_9,2026-02-26,Clear,1
SH_447,P_92,W_3,2026-03-03,Clear,0
SH_448,P_119,W_4,2026-01-05,Rain,0
SH_449,P_128,W_4,2026-02-20,Clear,0
SH_450,P_75,W_5,2026-02-11,Rain,1
SH_451,P_34,W_7,2026-03-17,Rain,0
SH_452,P_155,W_5,2026-01-24,Storm,0
SH_453,P_120,W_8,2026-03-08,Rain,0
SH_454,P_174,W_9,2026-02-20,Clear,0
SH_455,P_135,W_5,2026-01-30,Clear,0
SH_456,P_28,W_0,2026-02-22,Rain,0
SH_457,P_38,W_2,2026-02-21,Snow,0
SH_458,P_113,W_1,2026-02-26,Rain,0
SH_459,P_125,W_1,2026-03-01,Storm,0
SH_460,P_116,W_2,2026-02-24,Storm,0
SH_461,P_14,W_8,2026-03-11,Storm,0
SH_462,P_78,W_0,2026-02-22,Storm,1
SH_463,P_0,W_3,2026-03-16,Clear,1
SH_464,P_88,W_1,2026-02-23,Clear,0
SH_465,P_17,W_7,2026-01-26,Clear,0
SH_466,P_46,W_2,2026-02-06,Storm,1
SH_467,P_97,W_7,2026-02-18,Storm,1
SH_468,P_174,W_8,2026-03-02,Rain,0
SH_469,P_89,W_1,2026-01-08,Rain,0
SH_470,P_100,W_8,2026-01-25,Rain,0
SH_471,P_57,W_0,2026-03-04,Clear,0
SH_472,P_118,W_8,2026-01-15,Storm,1
SH_473,P_58,W_3,2026-01-11,Storm,1
SH_474,P_70,W_3,2026-02-14,Clear,1
SH_475,P_169,W_6,2026-03-22,Clear,1
SH_476,P_17,W_1,2026-02-14,Clear,0
SH_477,P_172,W_0,2026-03-17,Rain,0
SH_478,P_102,W_7,2026-03-10,Rain,0
SH_479,P_193,W_0,2026-01-22,Rain,0
SH_480,P_74,W_3,2026-03-10,Snow,0
SH_481,P_197,W_5,2026-02-09,Rain,0
SH_482,P_36,W_8,2026-03-08,Rain,0
SH_483,P_70,W_0,2026-03-03,Rain,0
SH_484,P_109,W_8,2026-01-29,Storm,1
SH_485,P_88,W_6,2026-01-10,Snow,0
SH_486,P_104,W_2,2026-03-21,Snow,1
SH_487,P_193,W_8,2026-01-12,Storm,1
SH_488,P_57,W_4,2026-03-22,Rain,0
SH_489,P_14,W_8,2026-03-13,Storm,0
SH_490,P_142,W_8,2026-03-02,Rain,0
SH_491,P_65,W_3,2026-03-23,Snow,0
SH_492,P_115,W_5,2026-03-22,Clear,0
SH_493,P_48,W_0,2026-03-08,Snow,1
SH_494,P_154,W_9,2026-01-31,Clear,0
SH_495,P_48,W_9,2026-03-07,Rain,0
SH_496,P_85,W_4,2026-01-02,Clear,0
SH_497,P_48,W_1,2026-02-14,Storm,0
SH_498,P_178,W_9,2026-02-07,Rain,0
SH_499,P_61,W_8,2026-02-25,Snow,0
SH_500,P_97,W_7,2026-02-25,Snow,1
SH_501,P_92,W_8,2026-02-18,Storm,0
SH_502,P_184,W_7,2026-03-10,Snow,0
SH_503,P_94,W_5,2026-03-20,Storm,1
SH_504,P_56,W_2,2026-01-09,Clear,0
SH_505,P_149,W_9,2026-01-20,Storm,1
SH_506,P_50,W_5,2026-01-03,Rain,0
SH_507,P_62,W_7,2026-03-15,Snow,1
SH_508,P_125,W_7,2026-02-16,Storm,1
SH_509,P_90,W_2,2026-03-17,Rain,0
SH_510,P_125,W_2,2026-01-19,Clear,0
SH_511,P_19,W_0,2026-01-06,Clear,0
SH_512,P_161,W_3,2026-03-10,Clear,0
SH_513,P_2,W_3,2026-03-17,Storm,1
SH_514,P_158,W_9,2026-01-26,Storm,0
SH_515,P_4,W_0,2026-02-03,Storm,1
SH_516,P_135,W_4,2026-01-12,Snow,1
SH_517,P_178,W_6,2026-03-20,Rain,0
SH_518,P_24,W_8,2026-01-26,Rain,1
SH_519,P_158,W_8,2026-02-10,Snow,0
SH_520,P_68,W_6,2026-01-09,Clear,0
SH_521,P_103,W_7,2026-03-15,Rain,0
SH_522,P_57,W_4,2026-01-12,Clear,0
SH_523,P_166,W_0,2026-02-07,Clear,0
SH_524,P_96,W_8,2026-02-25,Storm,1
SH_525,P_2,W_2,2026-03-03,Clear,0
SH_526,P_111,W_5,2026-03-20,Clear,0
SH_527,P_10,W_3,2026-02-04,Rain,0
SH_528,P_177,W_9,2026-03-03,Storm,1
SH_529,P_19,W_4,2026-01-13,Clear,0
SH_530,P_80,W_0,2026-02-04,Rain,0
SH_531,P_192,W_6,2026-01-09,Clear,1
SH_532,P_144,W_3,2026-02-10,Storm,0
SH_533,P_138,W_5,2026-02-03,Storm,0
SH_534,P_35,W_1,2026-03-20,Snow,1
